,index,total,discharge_count,expire_count,discharge_pp,expired_pp
34,etoh,1126,1124.0,2.0,0.9982238010657194,0.0017761989342806395
35,ruq abdominal pain,1126,1126.0,0.0,1.0,0.0
36,abdominal distention,1104,1103.0,1.0,0.9990942028985508,0.0009057971014492754
37,palpitations,1075,1074.0,1.0,0.9990697674418605,0.0009302325581395349
38,sob,1050,1048.0,2.0,0.9980952380952381,0.0019047619047619048
39,leg swelling,1042,1042.0,0.0,1.0,0.0
40,abdominal pain,1004,1004.0,0.0,1.0,0.0
41,depression,977,977.0,0.0,1.0,0.0
42,epigastric pain,972,972.0,0.0,1.0,0.0
43,hematuria,950,950.0,0.0,1.0,0.0
44,ich,941,937.0,4.0,0.9957492029755579,0.004250797024442083
45,rlq abdominal pain,930,930.0,0.0,1.0,0.0
46,jaundice,916,916.0,0.0,1.0,0.0
47,lower back pain,906,906.0,0.0,1.0,0.0
48,melena,867,867.0,0.0,1.0,0.0
49,sdh,854,852.0,2.0,0.9976580796252927,0.00234192037470726
50,l leg pain,784,784.0,0.0,1.0,0.0
51,cva,771,771.0,0.0,1.0,0.0
52,slurred speech,753,753.0,0.0,1.0,0.0
53,dysuria,728,728.0,0.0,1.0,0.0
54,neck pain,726,726.0,0.0,1.0,0.0
55,sah,712,711.0,1.0,0.9985955056179775,0.0014044943820224719
56,gi bleed,682,680.0,2.0,0.9970674486803519,0.002932551319648094
57,pregnant,681,681.0,0.0,1.0,0.0
58,fatigue,674,674.0,0.0,1.0,0.0
59,r flank pain,651,651.0,0.0,1.0,0.0
60,shortness of breath,650,650.0,0.0,1.0,0.0
61,bradycardia,638,636.0,2.0,0.9968652037617555,0.003134796238244514
62,rash,624,623.0,1.0,0.9983974358974359,0.0016025641025641025
63,hypertension,624,624.0,0.0,1.0,0.0
64,r leg pain,623,622.0,1.0,0.9983948635634029,0.0016051364365971107
65,overdose,613,612.0,1.0,0.99836867862969,0.0016313213703099511
66,visual changes,608,608.0,0.0,1.0,0.0
67,respiratory distress,608,602.0,6.0,0.9901315789473685,0.009868421052631578
68,lightheaded,605,605.0,0.0,1.0,0.0
69,l hip pain,601,601.0,0.0,1.0,0.0
70,anxiety,599,599.0,0.0,1.0,0.0
71,failure to thrive,594,594.0,0.0,1.0,0.0
72,hematemesis,586,586.0,0.0,1.0,0.0
73,pneumonia,581,580.0,1.0,0.9982788296041308,0.0017211703958691911
74,r hip pain,581,581.0,0.0,1.0,0.0
75,presyncope,577,577.0,0.0,1.0,0.0
76,unresponsive,573,553.0,20.0,0.9650959860383944,0.034904013961605584
77,abnormal mri,553,553.0,0.0,1.0,0.0
78,cp,542,542.0,0.0,1.0,0.0
79,l flank pain,537,537.0,0.0,1.0,0.0
80,psych eval,536,536.0,0.0,1.0,0.0
81,abscess,533,532.0,1.0,0.99812382739212,0.001876172607879925
82,abnormal ekg,518,517.0,1.0,0.9980694980694981,0.0019305019305019305
83,constipation,518,517.0,1.0,0.9980694980694981,0.0019305019305019305
84,sbo,517,517.0,0.0,1.0,0.0
85,l weakness,507,507.0,0.0,1.0,0.0
86,lower abdominal pain,504,504.0,0.0,1.0,0.0
87,hemoptysis,501,500.0,1.0,0.998003992015968,0.001996007984031936
88,urinary retention,494,493.0,1.0,0.9979757085020243,0.0020242914979757085
89,___,483,483.0,0.0,1.0,0.0
90,head injury,474,473.0,1.0,0.9978902953586498,0.002109704641350211
91,hypoglycemia,469,468.0,1.0,0.997867803837953,0.0021321961620469083
92,vaginal bleeding,462,462.0,0.0,1.0,0.0
93,llq abdominal pain,454,453.0,1.0,0.9977973568281938,0.0022026431718061676
94,sore throat,443,443.0,0.0,1.0,0.0
95,agitation,442,442.0,0.0,1.0,0.0
96,unable to ambulate,427,425.0,2.0,0.9953161592505855,0.00468384074941452
97,r foot pain,427,427.0,0.0,1.0,0.0
98,nstemi,426,426.0,0.0,1.0,0.0
99,cardiac arrest,414,258.0,156.0,0.6231884057971014,0.37681159420289856
100,unsteady gait,409,409.0,0.0,1.0,0.0
101,r weakness,404,404.0,0.0,1.0,0.0
102,pe,398,398.0,0.0,1.0,0.0
103,hyperkalemia,398,397.0,1.0,0.9974874371859297,0.002512562814070352
104,l foot pain,396,396.0,0.0,1.0,0.0
105,ped struck,385,378.0,7.0,0.9818181818181818,0.01818181818181818
106,leg pain,377,377.0,0.0,1.0,0.0
107,right sided abdominal pain,376,376.0,0.0,1.0,0.0
108,elevated troponin,371,370.0,1.0,0.9973045822102425,0.0026954177897574125
109,asthma exacerbation,363,362.0,1.0,0.9972451790633609,0.0027548209366391185
110,chest pain (cardiac features),354,352.0,2.0,0.9943502824858758,0.005649717514124294
111,psych,353,353.0,0.0,1.0,0.0
112,b leg swelling,352,352.0,0.0,1.0,0.0
113,head bleed,325,320.0,5.0,0.9846153846153847,0.015384615384615385
114,l arm pain,322,322.0,0.0,1.0,0.0
115,cellulitis,320,320.0,0.0,1.0,0.0
116,hallucinations,319,319.0,0.0,1.0,0.0
117,r knee pain,314,314.0,0.0,1.0,0.0
118,l leg swelling,313,313.0,0.0,1.0,0.0
119,rectal pain,309,309.0,0.0,1.0,0.0
120,assault,307,307.0,0.0,1.0,0.0
121,l knee pain,296,294.0,2.0,0.9932432432432432,0.006756756756756757
122,body pain,295,295.0,0.0,1.0,0.0
123,flank pain,295,295.0,0.0,1.0,0.0
124,fall,290,289.0,1.0,0.996551724137931,0.0034482758620689655
125,atrial fibrillation,286,286.0,0.0,1.0,0.0
126,r leg swelling,283,283.0,0.0,1.0,0.0
127,chills,282,282.0,0.0,1.0,0.0
128,abnormal sodium level,280,280.0,0.0,1.0,0.0
129,numbness,274,274.0,0.0,1.0,0.0
130,allergic reaction,274,274.0,0.0,1.0,0.0
131,facial swelling,267,267.0,0.0,1.0,0.0
132,coffee ground emesis,264,264.0,0.0,1.0,0.0
133,leg weakness,264,264.0,0.0,1.0,0.0
134,found down,251,248.0,3.0,0.9880478087649402,0.01195219123505976
135,l shoulder pain,250,249.0,1.0,0.996,0.004
136,difficulty swallowing,250,250.0,0.0,1.0,0.0
137,productive cough,246,245.0,1.0,0.9959349593495935,0.0040650406504065045
138,gtube eval,245,245.0,0.0,1.0,0.0
139,uti,235,235.0,0.0,1.0,0.0
140,hi,229,229.0,0.0,1.0,0.0
141,dehydration,227,227.0,0.0,1.0,0.0
142,r shoulder pain,225,225.0,0.0,1.0,0.0
143,pain,225,225.0,0.0,1.0,0.0
144,r arm pain,222,222.0,0.0,1.0,0.0
145,body aches,216,216.0,0.0,1.0,0.0
146,epistaxis,216,216.0,0.0,1.0,0.0
147,substance use,214,214.0,0.0,1.0,0.0
148,dvt,210,210.0,0.0,1.0,0.0
149,pancreatitis,208,208.0,0.0,1.0,0.0
150,psychosis,208,208.0,0.0,1.0,0.0
151,aphasia,206,206.0,0.0,1.0,0.0
152,psychiatric hold,201,201.0,0.0,1.0,0.0
153,appendicitis,201,201.0,0.0,1.0,0.0
154,positive blood cultures,194,194.0,0.0,1.0,0.0
155,vomiting and/or nausea,194,194.0,0.0,1.0,0.0
156,luq abd pain,191,191.0,0.0,1.0,0.0
157,stemi,188,185.0,3.0,0.9840425531914894,0.015957446808510637
158,pneumothorax,187,187.0,0.0,1.0,0.0
159,paranoid delusion,187,187.0,0.0,1.0,0.0
160,pelvic pain,184,184.0,0.0,1.0,0.0
161,toe pain,183,182.0,1.0,0.994535519125683,0.00546448087431694
162,upper abdominal pain,178,178.0,0.0,1.0,0.0
163,aaa,177,175.0,2.0,0.9887005649717514,0.011299435028248588
164,fevers,177,177.0,0.0,1.0,0.0
165,r ankle injury,176,176.0,0.0,1.0,0.0
166,l arm numbness,176,176.0,0.0,1.0,0.0
167,r hip fracture,172,172.0,0.0,1.0,0.0
168,tremor,172,171.0,1.0,0.9941860465116279,0.005813953488372093
169,facial droop,171,171.0,0.0,1.0,0.0
170,hip pain,166,166.0,0.0,1.0,0.0
171,l hip fracture,166,166.0,0.0,1.0,0.0
172,clotted fistula,162,162.0,0.0,1.0,0.0
173,abnormal lab values,156,156.0,0.0,1.0,0.0
174,l arm swelling,156,156.0,0.0,1.0,0.0
175,labor,152,152.0,0.0,1.0,0.0
176,wheezing,151,151.0,0.0,1.0,0.0
177,gib,149,149.0,0.0,1.0,0.0
178,laceration,148,148.0,0.0,1.0,0.0
179,malaise,146,146.0,0.0,1.0,0.0
180,ah,144,144.0,0.0,1.0,0.0
181,anorexia,144,144.0,0.0,1.0,0.0
182,r rib pain,142,142.0,0.0,1.0,0.0
183,vision changes,142,142.0,0.0,1.0,0.0
184,intubated,142,140.0,2.0,0.9859154929577465,0.014084507042253521
185,abdo pain,140,140.0,0.0,1.0,0.0
186,ms changes,135,135.0,0.0,1.0,0.0
187,l leg injury,131,131.0,0.0,1.0,0.0
188,suicide attempt,129,129.0,0.0,1.0,0.0
189,foot pain,128,128.0,0.0,1.0,0.0
190,detox,127,127.0,0.0,1.0,0.0
191,difficulty breathing,127,127.0,0.0,1.0,0.0
192,urinary frequency,126,126.0,0.0,1.0,0.0
193,sepsis,125,124.0,1.0,0.992,0.008
194,hypokalemia,125,125.0,0.0,1.0,0.0
195,neck swelling,124,124.0,0.0,1.0,0.0
196,elevated wbc,124,124.0,0.0,1.0,0.0
197,depression/suicidal/deliberate self harm,123,123.0,0.0,1.0,0.0
198,s/p cardiac arrest,121,114.0,7.0,0.9421487603305785,0.05785123966942149
199,unknown-cc,121,120.0,1.0,0.9917355371900827,0.008264462809917356
200,resp distress,121,119.0,2.0,0.9834710743801653,0.01652892561983471
201,b leg pain,120,120.0,0.0,1.0,0.0
202,abnl labs,119,119.0,0.0,1.0,0.0
203,lower extremity pain,118,118.0,0.0,1.0,0.0
204,neuro eval,116,116.0,0.0,1.0,0.0
205,knee pain,114,113.0,1.0,0.9912280701754386,0.008771929824561403
206,stroke,113,113.0,0.0,1.0,0.0
207,l facial droop,113,113.0,0.0,1.0,0.0
208,motorcycle accident,113,113.0,0.0,1.0,0.0
209,mania,113,113.0,0.0,1.0,0.0
210,r leg injury,112,112.0,0.0,1.0,0.0
211,l ankle injury,112,112.0,0.0,1.0,0.0
212,r arm numbness,111,111.0,0.0,1.0,0.0
213,ftt,111,111.0,0.0,1.0,0.0
214,code stroke,110,110.0,0.0,1.0,0.0
215,hyponatremia,110,110.0,0.0,1.0,0.0
216,od,109,109.0,0.0,1.0,0.0
217,sickle cell crisis,108,108.0,0.0,1.0,0.0
218,syncope/presyncope,108,108.0,0.0,1.0,0.0
219,rib pain,108,108.0,0.0,1.0,0.0
220,dka,108,108.0,0.0,1.0,0.0
221,for eval,107,107.0,0.0,1.0,0.0
222,r/o stroke,107,107.0,0.0,1.0,0.0
223,altered ms,107,107.0,0.0,1.0,0.0
224,l rib pain,107,107.0,0.0,1.0,0.0
225,femur fracture,106,106.0,0.0,1.0,0.0
226,dizzy,106,106.0,0.0,1.0,0.0
227,r ankle pain,105,105.0,0.0,1.0,0.0
228,ha,105,105.0,0.0,1.0,0.0
229,l facial numbness,105,105.0,0.0,1.0,0.0
230,l ankle pain,105,105.0,0.0,1.0,0.0
231,c-spine fracture,104,104.0,0.0,1.0,0.0
232,l numbness,104,104.0,0.0,1.0,0.0
233,pedal edema,103,103.0,0.0,1.0,0.0
234,altered level of consciousness,103,103.0,0.0,1.0,0.0
235,r arm swelling,102,102.0,0.0,1.0,0.0
236,jaw pain,101,101.0,0.0,1.0,0.0
237,r hand pain,99,99.0,0.0,1.0,0.0
238,l femur fracture,98,98.0,0.0,1.0,0.0
239,acute renal failure,98,98.0,0.0,1.0,0.0
240,rectal bleeding,97,97.0,0.0,1.0,0.0
241,urinary incontinence,97,97.0,0.0,1.0,0.0
242,neutropenia,95,95.0,0.0,1.0,0.0
243,hip fracture,95,95.0,0.0,1.0,0.0
244,vertigo,95,95.0,0.0,1.0,0.0
245,r facial droop,91,89.0,2.0,0.978021978021978,0.02197802197802198
246,blood in stool/melena,90,90.0,0.0,1.0,0.0
247,ruq pain,90,90.0,0.0,1.0,0.0
248,facial numbness,90,90.0,0.0,1.0,0.0
249,picc line eval,88,88.0,0.0,1.0,0.0
250,bicycle accident,87,87.0,0.0,1.0,0.0
251,r femur fracture,86,86.0,0.0,1.0,0.0
252,gunshot wound,84,82.0,2.0,0.9761904761904762,0.023809523809523808
253,cholecystitis,84,84.0,0.0,1.0,0.0
254,l elbow pain,84,84.0,0.0,1.0,0.0
255,general weakness,84,84.0,0.0,1.0,0.0
256,leg numbness,83,83.0,0.0,1.0,0.0
257,l hand pain,83,83.0,0.0,1.0,0.0
258,r foot swelling,82,82.0,0.0,1.0,0.0
259,l leg numbness,82,82.0,0.0,1.0,0.0
260,r facial numbness,82,82.0,0.0,1.0,0.0
261,head lac,82,82.0,0.0,1.0,0.0
262,stab wound,81,81.0,0.0,1.0,0.0
263,dental pain,81,81.0,0.0,1.0,0.0
264,bowel obstruction,81,81.0,0.0,1.0,0.0
265,ascites,80,80.0,0.0,1.0,0.0
266,r inguinal pain,80,80.0,0.0,1.0,0.0
267,cough/congestion,79,79.0,0.0,1.0,0.0
268,shoulder pain,79,79.0,0.0,1.0,0.0
269,l hand injury,78,78.0,0.0,1.0,0.0
270,r hand swelling,77,77.0,0.0,1.0,0.0
271,abnormal ultrasound,76,76.0,0.0,1.0,0.0
272,alcohol withdrawal,75,75.0,0.0,1.0,0.0
273,s/p seizure,74,74.0,0.0,1.0,0.0
274,urosepsis,74,74.0,0.0,1.0,0.0
275,r leg redness,74,74.0,0.0,1.0,0.0
276,influenza like illness,74,74.0,0.0,1.0,0.0
277,tachypnea,73,73.0,0.0,1.0,0.0
278,kidney stone,73,73.0,0.0,1.0,0.0
279,mcc,73,73.0,0.0,1.0,0.0
280,rlq pain,72,72.0,0.0,1.0,0.0
281,testicular pain,70,70.0,0.0,1.0,0.0
282,thrombocytopenia,70,70.0,0.0,1.0,0.0
283,r eye pain,70,70.0,0.0,1.0,0.0
284,r/o cva,70,70.0,0.0,1.0,0.0
285,l foot swelling,69,69.0,0.0,1.0,0.0
286,l arm weakness,68,68.0,0.0,1.0,0.0
287,r wrist pain,68,68.0,0.0,1.0,0.0
288,pna,68,68.0,0.0,1.0,0.0
289,r elbow pain,68,68.0,0.0,1.0,0.0
290,iph,67,67.0,0.0,1.0,0.0
291,etoh detox,67,67.0,0.0,1.0,0.0
292,ataxia,66,66.0,0.0,1.0,0.0
293,elevated d-dimer,66,66.0,0.0,1.0,0.0
294,neuro deficit,66,66.0,0.0,1.0,0.0
295,chf,66,66.0,0.0,1.0,0.0
296,abnormal xray,65,65.0,0.0,1.0,0.0
297,rib fracture,65,65.0,0.0,1.0,0.0
298,elevated inr,65,65.0,0.0,1.0,0.0
299,chest pain (noncardiac features),65,65.0,0.0,1.0,0.0
300,pulseless foot,65,65.0,0.0,1.0,0.0
301,c2 fx,64,64.0,0.0,1.0,0.0
302,throat foreign body sensation,64,64.0,0.0,1.0,0.0
303,r hand injury,63,63.0,0.0,1.0,0.0
304,l leg redness,62,62.0,0.0,1.0,0.0
305,r leg cellulitis,61,61.0,0.0,1.0,0.0
306,icd eval,61,61.0,0.0,1.0,0.0
307,l leg cellulitis,61,61.0,0.0,1.0,0.0
308,l calf pain,60,60.0,0.0,1.0,0.0
309,arm pain,60,60.0,0.0,1.0,0.0
310,near syncope,59,59.0,0.0,1.0,0.0
311,finger injury,58,58.0,0.0,1.0,0.0
312,r leg numbness,58,58.0,0.0,1.0,0.0
313,l hand swelling,58,58.0,0.0,1.0,0.0
314,ekg changes,57,57.0,0.0,1.0,0.0
315,sz,56,56.0,0.0,1.0,0.0
316,afib,55,55.0,0.0,1.0,0.0
317,left sided abdominal pain,55,55.0,0.0,1.0,0.0
318,abd pain ,55,55.0,0.0,1.0,0.0
319,hemodialysis,54,54.0,0.0,1.0,0.0
320,diplopia,54,54.0,0.0,1.0,0.0
321,s/p arrest,53,49.0,4.0,0.9245283018867925,0.07547169811320754
322,dog bite,53,53.0,0.0,1.0,0.0
323,r chest pain,53,53.0,0.0,1.0,0.0
324,cat bite,53,53.0,0.0,1.0,0.0
325,l eye pain,53,53.0,0.0,1.0,0.0
326,vtach,53,53.0,0.0,1.0,0.0
327,c/p,52,52.0,0.0,1.0,0.0
328,l wrist pain,52,52.0,0.0,1.0,0.0
329,trauma,51,51.0,0.0,1.0,0.0
330,nausea/vomiting,51,51.0,0.0,1.0,0.0
331,unwitnessed fall,51,51.0,0.0,1.0,0.0
332,doe,50,50.0,0.0,1.0,0.0
333,r calf pain,50,50.0,0.0,1.0,0.0
334,food bolus,50,50.0,0.0,1.0,0.0
335,hypotensive,50,47.0,3.0,0.94,0.06
336,decreased po intake,49,49.0,0.0,1.0,0.0
337,l knee injury,49,49.0,0.0,1.0,0.0
338,inguinal pain,49,49.0,0.0,1.0,0.0
339,t-spine fracture,49,49.0,0.0,1.0,0.0
340,l hand numbness,49,49.0,0.0,1.0,0.0
341,l chest pain,48,48.0,0.0,1.0,0.0
342,h/a,48,48.0,0.0,1.0,0.0
343,low hct,48,48.0,0.0,1.0,0.0
344,ear pain,48,48.0,0.0,1.0,0.0
345,left leg pain,48,48.0,0.0,1.0,0.0
346,insomnia,47,47.0,0.0,1.0,0.0
347,r knee injury,47,47.0,0.0,1.0,0.0
348,r leg weakness,47,47.0,0.0,1.0,0.0
349,pleuritic chest pain,47,47.0,0.0,1.0,0.0
350,bizarre behavior,47,47.0,0.0,1.0,0.0
351,vomiting blood,47,47.0,0.0,1.0,0.0
352,r numbness,47,47.0,0.0,1.0,0.0
353,s/p mvc,46,46.0,0.0,1.0,0.0
354,buttock pain,46,46.0,0.0,1.0,0.0
355,r knee swelling,46,46.0,0.0,1.0,0.0
356,l inguinal pain,46,46.0,0.0,1.0,0.0
357,weight gain,46,46.0,0.0,1.0,0.0
358,mental status changes,46,46.0,0.0,1.0,0.0
359,diverticulitis,46,46.0,0.0,1.0,0.0
360,weight loss,46,46.0,0.0,1.0,0.0
361,lower extremity injury,45,45.0,0.0,1.0,0.0
362,myalgia,45,45.0,0.0,1.0,0.0
363,ams,45,45.0,0.0,1.0,0.0
364,lethargic,45,45.0,0.0,1.0,0.0
365,l wrist injury,44,44.0,0.0,1.0,0.0
366,pleural effusion,44,44.0,0.0,1.0,0.0
367,l shoulder injury,44,44.0,0.0,1.0,0.0
368,femur fx,44,44.0,0.0,1.0,0.0
369,angioedema,43,43.0,0.0,1.0,0.0
370,sa,43,43.0,0.0,1.0,0.0
371,"si,___",43,43.0,0.0,1.0,0.0
372,l leg weakness,43,43.0,0.0,1.0,0.0
373,seizures,42,42.0,0.0,1.0,0.0
374,clogged foley,42,42.0,0.0,1.0,0.0
375,gsw,42,40.0,2.0,0.9523809523809523,0.047619047619047616
376,tongue swelling,42,42.0,0.0,1.0,0.0
377,b leg weakness,42,42.0,0.0,1.0,0.0
378,low back pain,42,42.0,0.0,1.0,0.0
379,llq pain,41,41.0,0.0,1.0,0.0
380,vaginal pain,41,41.0,0.0,1.0,0.0
381,svt,41,41.0,0.0,1.0,0.0
382,lbp,40,40.0,0.0,1.0,0.0
383,post arrest,40,38.0,2.0,0.95,0.05
384,renal failure,40,40.0,0.0,1.0,0.0
385,intracranial mass,39,39.0,0.0,1.0,0.0
386,tia,39,39.0,0.0,1.0,0.0
387,weak,39,39.0,0.0,1.0,0.0
388,suprapubic pain,39,39.0,0.0,1.0,0.0
389,mouth pain,39,39.0,0.0,1.0,0.0
390,l ear pain,39,39.0,0.0,1.0,0.0
391,b foot pain,39,39.0,0.0,1.0,0.0
392,traumatic back/spine injury,38,38.0,0.0,1.0,0.0
393,jtube eval,38,38.0,0.0,1.0,0.0
394,left flank pain,38,38.0,0.0,1.0,0.0
395,hepatic encephalopathy,38,38.0,0.0,1.0,0.0
396,scrotal pain,37,37.0,0.0,1.0,0.0
397,wound check,37,37.0,0.0,1.0,0.0
398,r shoulder injury,37,37.0,0.0,1.0,0.0
399,l facial swelling,37,37.0,0.0,1.0,0.0
400,lip swelling,37,37.0,0.0,1.0,0.0
401,l knee swelling,36,36.0,0.0,1.0,0.0
402,l-spine fracture,36,36.0,0.0,1.0,0.0
403,alt ms,36,36.0,0.0,1.0,0.0
404,upper extremity pain,36,36.0,0.0,1.0,0.0
405,upper back pain,36,36.0,0.0,1.0,0.0
406,hypothermia,35,33.0,2.0,0.9428571428571428,0.05714285714285714
407,palpitations/irregular heart beat,35,35.0,0.0,1.0,0.0
408,facial pain,35,35.0,0.0,1.0,0.0
409,generalized weakness,34,34.0,0.0,1.0,0.0
410,s/p sz,34,34.0,0.0,1.0,0.0
411,med refill,34,33.0,1.0,0.9705882352941176,0.029411764705882353
412,bleeding fistula,34,34.0,0.0,1.0,0.0
413,r foot injury,33,33.0,0.0,1.0,0.0
414,r arm weakness,33,33.0,0.0,1.0,0.0
415,chest pressure,33,33.0,0.0,1.0,0.0
416,right sided chest pain,33,33.0,0.0,1.0,0.0
417,abdominal mass/distention,33,33.0,0.0,1.0,0.0
418,cp/sob,33,33.0,0.0,1.0,0.0
419,facial injury,33,33.0,0.0,1.0,0.0
420,chemo,33,33.0,0.0,1.0,0.0
421,right flank pain,33,33.0,0.0,1.0,0.0
422,htn,32,32.0,0.0,1.0,0.0
423,hip fx,32,32.0,0.0,1.0,0.0
424,tib/fib fracture,32,32.0,0.0,1.0,0.0
425,l breast pain,32,32.0,0.0,1.0,0.0
426,difficulty ambulating,32,32.0,0.0,1.0,0.0
427,basic trauma,32,32.0,0.0,1.0,0.0
428,burn,32,32.0,0.0,1.0,0.0
429,r ear pain,32,32.0,0.0,1.0,0.0
430,redness,31,31.0,0.0,1.0,0.0
431,change in mental status,31,31.0,0.0,1.0,0.0
432,finger pain,31,31.0,0.0,1.0,0.0
433,s/p assault,31,31.0,0.0,1.0,0.0
434,for admission,30,30.0,0.0,1.0,0.0
435,change ms,30,30.0,0.0,1.0,0.0
436,right hip pain,30,30.0,0.0,1.0,0.0
437,b flank pain,30,30.0,0.0,1.0,0.0
438,left hip pain,30,30.0,0.0,1.0,0.0
439,luq abdominal pain,30,30.0,0.0,1.0,0.0
440,abn labs,30,30.0,0.0,1.0,0.0
441,multiple complaints,30,30.0,0.0,1.0,0.0
442,chest tightness,30,30.0,0.0,1.0,0.0
443,stabbing,29,28.0,1.0,0.9655172413793104,0.034482758620689655
444,edema,29,29.0,0.0,1.0,0.0
445,arm numbness,29,29.0,0.0,1.0,0.0
446,hand injury,29,29.0,0.0,1.0,0.0
447,tremors,28,28.0,0.0,1.0,0.0
448,breast pain,28,28.0,0.0,1.0,0.0
449,right leg pain,28,28.0,0.0,1.0,0.0
450,oliguria,28,28.0,0.0,1.0,0.0
451,abnormal echo,28,28.0,0.0,1.0,0.0
452,s/p unresponsive,28,28.0,0.0,1.0,0.0
453,abd pain/n/v,28,28.0,0.0,1.0,0.0
454,l leg dvt,28,28.0,0.0,1.0,0.0
455,foot swelling,28,28.0,0.0,1.0,0.0
456,intubated transfer,28,26.0,2.0,0.9285714285714286,0.07142857142857142
457,loss of consciousness,27,27.0,0.0,1.0,0.0
458,eye pain,27,27.0,0.0,1.0,0.0
459,infection,27,27.0,0.0,1.0,0.0
460,pericardial effusion,27,27.0,0.0,1.0,0.0
461,palpatations,27,27.0,0.0,1.0,0.0
462,uti complaints,27,27.0,0.0,1.0,0.0
463,l ankle fx,27,27.0,0.0,1.0,0.0
464,finger swelling,26,26.0,0.0,1.0,0.0
465,l arm injury,26,26.0,0.0,1.0,0.0
466,gastroparesis,26,26.0,0.0,1.0,0.0
467,fever/chills,26,26.0,0.0,1.0,0.0
468,upper extremity injury,26,26.0,0.0,1.0,0.0
469,s/p mechanical fall,26,26.0,0.0,1.0,0.0
470,vh,25,25.0,0.0,1.0,0.0
471,r wrist injury,25,25.0,0.0,1.0,0.0
472,sob/cough,25,25.0,0.0,1.0,0.0
473,dysphagia,25,25.0,0.0,1.0,0.0
474,medical device problem,25,25.0,0.0,1.0,0.0
475,r ankle fx,25,25.0,0.0,1.0,0.0
476,gallstones,25,25.0,0.0,1.0,0.0
477,abnormal ct scan,25,25.0,0.0,1.0,0.0
478,joint pain,25,25.0,0.0,1.0,0.0
479,r/o sepsis,24,24.0,0.0,1.0,0.0
480,needs ercp,24,24.0,0.0,1.0,0.0
481,brain mass,24,24.0,0.0,1.0,0.0
482,,24,24.0,0.0,1.0,0.0
483,blurred vision,24,24.0,0.0,1.0,0.0
484,vag bleeding,24,24.0,0.0,1.0,0.0
485,r/o tia,24,24.0,0.0,1.0,0.0
486,left sided chest pain,24,24.0,0.0,1.0,0.0
487,mandibular fracture,24,24.0,0.0,1.0,0.0
488,n/v abd pain,24,24.0,0.0,1.0,0.0
489,fever ,24,24.0,0.0,1.0,0.0
490,mca,24,24.0,0.0,1.0,0.0
491,hand pain,24,24.0,0.0,1.0,0.0
492,arrest,23,10.0,13.0,0.43478260869565216,0.5652173913043478
493,right knee pain,23,23.0,0.0,1.0,0.0
494,swelling,23,23.0,0.0,1.0,0.0
495,tachy,23,23.0,0.0,1.0,0.0
496,r arm injury,23,23.0,0.0,1.0,0.0
497,ankle swelling,23,23.0,0.0,1.0,0.0
498,fistula eval,23,23.0,0.0,1.0,0.0
499,ankle injury,23,23.0,0.0,1.0,0.0
500,headbleed,23,22.0,1.0,0.9565217391304348,0.043478260869565216
