,complaint,total,home_count,admit_count,home_pp,admit_pp
461,r finger pain,83,73.0,10.0,0.8795180722891566,0.12048192771084337
468,b knee pain,81,65.0,16.0,0.8024691358024691,0.19753086419753085
470,peritonsillar abscess,81,71.0,10.0,0.8765432098765432,0.12345679012345678
472,head pain,80,67.0,13.0,0.8375,0.1625
480,staples removal,76,74.0,2.0,0.9736842105263158,0.02631578947368421
481,gu eval,76,65.0,11.0,0.8552631578947368,0.14473684210526316
486,right ankle pain,75,71.0,4.0,0.9466666666666667,0.05333333333333334
488,l finger pain,75,65.0,10.0,0.8666666666666667,0.13333333333333333
489,bat exposure,75,75.0,0.0,1.0,0.0
494,right arm pain,73,62.0,11.0,0.8493150684931506,0.1506849315068493
496,wrist pain,72,64.0,8.0,0.8888888888888888,0.1111111111111111
508,allergic rxn,68,59.0,9.0,0.8676470588235294,0.1323529411764706
510,l eye eval,68,63.0,5.0,0.9264705882352942,0.07352941176470588
511,l back pain,68,59.0,9.0,0.8676470588235294,0.1323529411764706
512,facial trauma,67,62.0,5.0,0.9253731343283582,0.07462686567164178
514,facial laceration,67,61.0,6.0,0.9104477611940298,0.08955223880597014
515,gyn eval,67,61.0,6.0,0.9104477611940298,0.08955223880597014
518,foot laceration,65,58.0,7.0,0.8923076923076924,0.1076923076923077
519,nose pain,65,62.0,3.0,0.9538461538461539,0.046153846153846156
520,vaginal bleed,64,54.0,10.0,0.84375,0.15625
527,coccyx pain,62,50.0,12.0,0.8064516129032258,0.1935483870967742
528,l thumb pain,62,57.0,5.0,0.9193548387096774,0.08064516129032258
533,left ankle injury,61,53.0,8.0,0.8688524590163934,0.13114754098360656
534,foot injury,61,56.0,5.0,0.9180327868852459,0.08196721311475409
541,foreign body,59,48.0,11.0,0.8135593220338984,0.1864406779661017
542,l thigh pain,58,47.0,11.0,0.8103448275862069,0.1896551724137931
546,right ankle injury,57,51.0,6.0,0.8947368421052632,0.10526315789473684
557,chest discomfort,56,46.0,10.0,0.8214285714285714,0.17857142857142858
560,smoke inhalation,55,46.0,9.0,0.8363636363636363,0.16363636363636364
561,eval,55,47.0,8.0,0.8545454545454545,0.14545454545454545
562,r shoulder dislocation,55,47.0,8.0,0.8545454545454545,0.14545454545454545
565,arm laceration,53,45.0,8.0,0.8490566037735849,0.1509433962264151
568,passed out,53,44.0,9.0,0.8301886792452831,0.16981132075471697
569,tooth pain,53,52.0,1.0,0.9811320754716981,0.018867924528301886
572,right hand injury,52,47.0,5.0,0.9038461538461539,0.09615384615384616
573,vaginal itching,52,51.0,1.0,0.9807692307692307,0.019230769230769232
574,heart racing,52,42.0,10.0,0.8076923076923077,0.19230769230769232
575,r lower back pain,52,48.0,4.0,0.9230769230769231,0.07692307692307693
579,head strike,51,47.0,4.0,0.9215686274509803,0.0784313725490196
580,r/o uti,51,45.0,6.0,0.8823529411764706,0.11764705882352941
582,left ear pain,51,49.0,2.0,0.9607843137254902,0.0392156862745098
583,lab request,51,47.0,4.0,0.9215686274509803,0.0784313725490196
587,thumb injury,49,45.0,4.0,0.9183673469387755,0.08163265306122448
588,skin erythema,49,40.0,9.0,0.8163265306122449,0.1836734693877551
593,earache,48,47.0,1.0,0.9791666666666666,0.020833333333333332
595,blood and body fluid exposure,47,47.0,0.0,1.0,0.0
597,cyst,47,44.0,3.0,0.9361702127659575,0.06382978723404255
598,left eye pain,46,38.0,8.0,0.8260869565217391,0.17391304347826086
604,r arm laceration,45,39.0,6.0,0.8666666666666667,0.13333333333333333
607,l headache,45,37.0,8.0,0.8222222222222222,0.17777777777777778
609,elbow pain,45,37.0,8.0,0.8222222222222222,0.17777777777777778
610,throat pain,45,42.0,3.0,0.9333333333333333,0.06666666666666667
618,l heel pain,44,36.0,8.0,0.8181818181818182,0.18181818181818182
624,lumps,42,34.0,8.0,0.8095238095238095,0.19047619047619047
625,nasal congestion,42,40.0,2.0,0.9523809523809523,0.047619047619047616
626,left foot injury,42,41.0,1.0,0.9761904761904762,0.023809523809523808
628,trip and fall,41,35.0,6.0,0.8536585365853658,0.14634146341463414
634,right hand pain,41,35.0,6.0,0.8536585365853658,0.14634146341463414
635,right ear pain,41,40.0,1.0,0.975609756097561,0.024390243902439025
637,dental/gum problems,41,39.0,2.0,0.9512195121951219,0.04878048780487805
640,r heel pain,40,36.0,4.0,0.9,0.1
642,vag bleed,40,35.0,5.0,0.875,0.125
646,bumps,40,33.0,7.0,0.825,0.175
648,calluses,40,33.0,7.0,0.825,0.175
652,thumb laceration,39,39.0,0.0,1.0,0.0
657,fb in throat,38,34.0,4.0,0.8947368421052632,0.10526315789473684
661,right wrist pain,38,35.0,3.0,0.9210526315789473,0.07894736842105263
667,panic attack,37,36.0,1.0,0.972972972972973,0.02702702702702703
674,left wrist pain,37,36.0,1.0,0.972972972972973,0.02702702702702703
676,medical clearance,37,31.0,6.0,0.8378378378378378,0.16216216216216217
679,apparently drunk,36,35.0,1.0,0.9722222222222222,0.027777777777777776
682,slip and fall,36,29.0,7.0,0.8055555555555556,0.19444444444444445
683,eye swelling,36,31.0,5.0,0.8611111111111112,0.1388888888888889
684,lip lac,36,35.0,1.0,0.9722222222222222,0.027777777777777776
688,foley eval,36,30.0,6.0,0.8333333333333334,0.16666666666666666
689,unable to urinate,35,29.0,6.0,0.8285714285714286,0.17142857142857143
690,intoxicated,35,29.0,6.0,0.8285714285714286,0.17142857142857143
704,itching,34,29.0,5.0,0.8529411764705882,0.14705882352941177
706,toe injury,34,33.0,1.0,0.9705882352941176,0.029411764705882353
715,discharge,33,33.0,0.0,1.0,0.0
718,anxious,33,30.0,3.0,0.9090909090909091,0.09090909090909091
720,right eye pain,33,30.0,3.0,0.9090909090909091,0.09090909090909091
721,l groin pain,33,27.0,6.0,0.8181818181818182,0.18181818181818182
722,red eye,33,33.0,0.0,1.0,0.0
723,hand lac,32,32.0,0.0,1.0,0.0
727,chin lac,32,32.0,0.0,1.0,0.0
730,left knee injury,32,29.0,3.0,0.90625,0.09375
731,l jaw pain,31,25.0,6.0,0.8064516129032258,0.1935483870967742
735,left leg swelling,31,26.0,5.0,0.8387096774193549,0.16129032258064516
737,l finger swelling,31,28.0,3.0,0.9032258064516129,0.0967741935483871
740,r headache,31,25.0,6.0,0.8064516129032258,0.1935483870967742
747,l leg laceration,30,28.0,2.0,0.9333333333333333,0.06666666666666667
758,chemical exposure,29,27.0,2.0,0.9310344827586207,0.06896551724137931
761,heroin od,29,24.0,5.0,0.8275862068965517,0.1724137931034483
763,left hand injury,29,28.0,1.0,0.9655172413793104,0.034482758620689655
767,heel pain,28,27.0,1.0,0.9642857142857143,0.03571428571428571
770,bite,28,25.0,3.0,0.8928571428571429,0.10714285714285714
773,midline eval,28,23.0,5.0,0.8214285714285714,0.17857142857142858
776,allergic rx,28,23.0,5.0,0.8214285714285714,0.17857142857142858
779,tick bite,27,26.0,1.0,0.9629629629629629,0.037037037037037035
782,unable to void,27,22.0,5.0,0.8148148148148148,0.18518518518518517
783,picc eval,27,23.0,4.0,0.8518518518518519,0.14814814814814814
788,chin laceration,26,24.0,2.0,0.9230769230769231,0.07692307692307693
791,acute pelvic pain,26,24.0,2.0,0.9230769230769231,0.07692307692307693
794,thumb lac,26,26.0,0.0,1.0,0.0
796,left sided pain,26,21.0,5.0,0.8076923076923077,0.19230769230769232
799,r leg laceration,26,25.0,1.0,0.9615384615384616,0.038461538461538464
800,facial lac,26,24.0,2.0,0.9230769230769231,0.07692307692307693
804,left hand lac,26,26.0,0.0,1.0,0.0
805,throat tightness,26,22.0,4.0,0.8461538461538461,0.15384615384615385
806,left hand pain,26,25.0,1.0,0.9615384615384616,0.038461538461538464
807,removal ___/sutures,26,26.0,0.0,1.0,0.0
809,left calf pain,25,25.0,0.0,1.0,0.0
813,medication error,25,21.0,4.0,0.84,0.16
814,pta,25,24.0,1.0,0.96,0.04
816,s/p mva,25,23.0,2.0,0.92,0.08
822,right calf pain,25,22.0,3.0,0.88,0.12
824,lab draw,25,23.0,2.0,0.92,0.08
833,right knee injury,24,20.0,4.0,0.8333333333333334,0.16666666666666666
834,head pressure,24,20.0,4.0,0.8333333333333334,0.16666666666666666
837,skin eval,24,21.0,3.0,0.875,0.125
842,orbital fracture,24,21.0,3.0,0.875,0.125
851,lip pain,23,22.0,1.0,0.9565217391304348,0.043478260869565216
853,chest congestion,23,19.0,4.0,0.8260869565217391,0.17391304347826086
859,forehead laceration,23,21.0,2.0,0.9130434782608695,0.08695652173913043
862,right foot injury,23,22.0,1.0,0.9565217391304348,0.043478260869565216
865,med clearance,23,19.0,4.0,0.8260869565217391,0.17391304347826086
870,animal bite,22,21.0,1.0,0.9545454545454546,0.045454545454545456
871,chest burning,22,18.0,4.0,0.8181818181818182,0.18181818181818182
874,l shoulder dislocation,22,19.0,3.0,0.8636363636363636,0.13636363636363635
877,std eval,22,21.0,1.0,0.9545454545454546,0.045454545454545456
879,auto bike collision,22,19.0,3.0,0.8636363636363636,0.13636363636363635
882,rx refill,22,22.0,0.0,1.0,0.0
888,head laceration,22,22.0,0.0,1.0,0.0
890,facial pain (nontraumatic/nondental),22,18.0,4.0,0.8181818181818182,0.18181818181818182
895,l pelvic pain,22,18.0,4.0,0.8181818181818182,0.18181818181818182
898,s/p head injury,22,20.0,2.0,0.9090909090909091,0.09090909090909091
901,toothache,21,19.0,2.0,0.9047619047619048,0.09523809523809523
913,tingling,21,20.0,1.0,0.9523809523809523,0.047619047619047616
930,? uti,20,17.0,3.0,0.85,0.15
932,nose injury,20,20.0,0.0,1.0,0.0
934,bicycle crash,20,17.0,3.0,0.85,0.15
935,left foot swelling,20,17.0,3.0,0.85,0.15
938,right eye redness,20,19.0,1.0,0.95,0.05
944,bee sting,20,20.0,0.0,1.0,0.0
945,left wrist injury,20,17.0,3.0,0.85,0.15
952,epistaxsis,19,16.0,3.0,0.8421052631578947,0.15789473684210525
957,right sided abd pain,19,16.0,3.0,0.8421052631578947,0.15789473684210525
958,r/o std,19,19.0,0.0,1.0,0.0
964,b ear pain,19,16.0,3.0,0.8421052631578947,0.15789473684210525
965,b eye swelling,19,18.0,1.0,0.9473684210526315,0.05263157894736842
966,foot numbness,19,16.0,3.0,0.8421052631578947,0.15789473684210525
967,b eye pain,19,17.0,2.0,0.8947368421052632,0.10526315789473684
968,opioid withdrawal,19,16.0,3.0,0.8421052631578947,0.15789473684210525
972,cast eval,19,18.0,1.0,0.9473684210526315,0.05263157894736842
976,port eval,19,16.0,3.0,0.8421052631578947,0.15789473684210525
978,puncture wound,18,17.0,1.0,0.9444444444444444,0.05555555555555555
985,substance abuse,18,15.0,3.0,0.8333333333333334,0.16666666666666666
987,cp/back pain,18,15.0,3.0,0.8333333333333334,0.16666666666666666
988,apparently intoxicated,18,15.0,3.0,0.8333333333333334,0.16666666666666666
989,etoh/fall,18,15.0,3.0,0.8333333333333334,0.16666666666666666
991,groin eval,18,17.0,1.0,0.9444444444444444,0.05555555555555555
997,back  pain,18,17.0,1.0,0.9444444444444444,0.05555555555555555
999,left thumb lac,18,18.0,0.0,1.0,0.0
1000,bug bites,18,18.0,0.0,1.0,0.0
1008,periorbital swelling,18,15.0,3.0,0.8333333333333334,0.16666666666666666
1010,? allergic reaction,18,15.0,3.0,0.8333333333333334,0.16666666666666666
1016,s/p head strike,17,16.0,1.0,0.9411764705882353,0.058823529411764705
1018,left sided abd pain,17,15.0,2.0,0.8823529411764706,0.11764705882352941
1021,unable to walk,17,14.0,3.0,0.8235294117647058,0.17647058823529413
1024,right eye eval,17,15.0,2.0,0.8823529411764706,0.11764705882352941
1029,right thumb pain,17,15.0,2.0,0.8823529411764706,0.11764705882352941
1032,left rib pain,17,16.0,1.0,0.9411764705882353,0.058823529411764705
1035,constipated,17,14.0,3.0,0.8235294117647058,0.17647058823529413
1037,pilonidal cyst,17,15.0,2.0,0.8823529411764706,0.11764705882352941
1038,r eye injury,17,17.0,0.0,1.0,0.0
1042,s/p bicycle accident,17,16.0,1.0,0.9411764705882353,0.058823529411764705
1043,lac,17,17.0,0.0,1.0,0.0
1049,groin pain/mass,16,13.0,3.0,0.8125,0.1875
1052,fall from bicycle,16,13.0,3.0,0.8125,0.1875
1055,threatened ab,16,16.0,0.0,1.0,0.0
1058,bilateral flank pain,16,14.0,2.0,0.875,0.125
1062,itchy,16,15.0,1.0,0.9375,0.0625
1063,nasal pain,16,16.0,0.0,1.0,0.0
1067,fall off bike,16,15.0,1.0,0.9375,0.0625
1068,right shoulder injury,16,15.0,1.0,0.9375,0.0625
1069,bilateral foot pain,16,13.0,3.0,0.8125,0.1875
1073,bug bite,16,16.0,0.0,1.0,0.0
1076,back injury,16,13.0,3.0,0.8125,0.1875
1078,l knee laceration,16,16.0,0.0,1.0,0.0
1081,high blood pressure,16,14.0,2.0,0.875,0.125
1085,eye irritation,15,14.0,1.0,0.9333333333333333,0.06666666666666667
1092,tongue pain,15,14.0,1.0,0.9333333333333333,0.06666666666666667
1096,right abd pain,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1100,etoh intoxication,15,15.0,0.0,1.0,0.0
1104,social work,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1105,right hand swelling,15,14.0,1.0,0.9333333333333333,0.06666666666666667
1106,s/p bike accident,15,14.0,1.0,0.9333333333333333,0.06666666666666667
1108,l scapula pain,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1110,injury,15,14.0,1.0,0.9333333333333333,0.06666666666666667
1115,right toe pain,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1116,left back pain,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1118,paronychia,15,15.0,0.0,1.0,0.0
1120,hand inj,15,15.0,0.0,1.0,0.0
1122,b hand swelling,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1127,l side pain,15,13.0,2.0,0.8666666666666667,0.13333333333333333
1130,cold symptoms,14,14.0,0.0,1.0,0.0
1133,stiff neck,14,14.0,0.0,1.0,0.0
1135,staple removal,14,13.0,1.0,0.9285714285714286,0.07142857142857142
1138,blocked foley,14,12.0,2.0,0.8571428571428571,0.14285714285714285
1146,requesting rx,14,14.0,0.0,1.0,0.0
1147,sinus pressure,14,13.0,1.0,0.9285714285714286,0.07142857142857142
1151,migraines,14,14.0,0.0,1.0,0.0
1153,neck pain s/p mvc,14,14.0,0.0,1.0,0.0
1154,polysubstance abuse,14,12.0,2.0,0.8571428571428571,0.14285714285714285
1156,rlq pain ,14,12.0,2.0,0.8571428571428571,0.14285714285714285
1157,needs rx,14,14.0,0.0,1.0,0.0
1161,thigh pain,14,13.0,1.0,0.9285714285714286,0.07142857142857142
1162,s/p  mvc,14,14.0,0.0,1.0,0.0
1164,head inj,14,13.0,1.0,0.9285714285714286,0.07142857142857142
1166,intoxication,14,13.0,1.0,0.9285714285714286,0.07142857142857142
1174,heartburn,14,13.0,1.0,0.9285714285714286,0.07142857142857142
1178,left cw pain,14,12.0,2.0,0.8571428571428571,0.14285714285714285
1180,cat scratch,14,12.0,2.0,0.8571428571428571,0.14285714285714285
1181,r/o allergic reaction,14,12.0,2.0,0.8571428571428571,0.14285714285714285
1182,right hand lac,14,14.0,0.0,1.0,0.0
1187,right leg injury,13,11.0,2.0,0.8461538461538461,0.15384615384615385
1190,foreign body in throat,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1192,left buttock pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1196,left toe pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1197,bike vs car,13,11.0,2.0,0.8461538461538461,0.15384615384615385
1198,accidental ingestion,13,13.0,0.0,1.0,0.0
1200,left elbow pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1203,splinter,13,13.0,0.0,1.0,0.0
1208,left chest pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1212,stress,13,13.0,0.0,1.0,0.0
1213,eye injury,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1215,left eye swelling,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1217,witnessed seizure,13,11.0,2.0,0.8461538461538461,0.15384615384615385
1218,right facial pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1220,photophobia,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1221,r foot laceration,13,13.0,0.0,1.0,0.0
1222,bilat knee pain,13,11.0,2.0,0.8461538461538461,0.15384615384615385
1223,painful urination,13,13.0,0.0,1.0,0.0
1224,b arm numbness,13,11.0,2.0,0.8461538461538461,0.15384615384615385
1225,rabies shot,13,13.0,0.0,1.0,0.0
1231,hyperemesis,13,11.0,2.0,0.8461538461538461,0.15384615384615385
1233,ankle inj,13,13.0,0.0,1.0,0.0
1236,right elbow pain,13,13.0,0.0,1.0,0.0
1241,left eye eval,13,13.0,0.0,1.0,0.0
1245,gingival pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1247,r sided pain,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1248,ear swelling,13,12.0,1.0,0.9230769230769231,0.07692307692307693
1252,sinus congestion,13,13.0,0.0,1.0,0.0
1253,tongue laceration,13,13.0,0.0,1.0,0.0
1257,penile discharge,12,12.0,0.0,1.0,0.0
1258,left facial pain,12,12.0,0.0,1.0,0.0
1262,mouth sore,12,11.0,1.0,0.9166666666666666,0.08333333333333333
1266,difficulty urinating,12,10.0,2.0,0.8333333333333334,0.16666666666666666
1270,eyebrow lac,12,12.0,0.0,1.0,0.0
1275,left eye redness,12,12.0,0.0,1.0,0.0
1276,eye burning,12,12.0,0.0,1.0,0.0
1277,rt foot pain,12,12.0,0.0,1.0,0.0
1278,thumb pain,12,12.0,0.0,1.0,0.0
1287,s.t.,12,11.0,1.0,0.9166666666666666,0.08333333333333333
1289,wound eval ,12,10.0,2.0,0.8333333333333334,0.16666666666666666
1291,facial fractures,12,10.0,2.0,0.8333333333333334,0.16666666666666666
1293,r pelvic pain,12,11.0,1.0,0.9166666666666666,0.08333333333333333
1294,vaginal irritation,12,11.0,1.0,0.9166666666666666,0.08333333333333333
1310,poison ivy,12,12.0,0.0,1.0,0.0
1314,medication refill,12,12.0,0.0,1.0,0.0
