,index,total,home_count,admit_count,home_pp,admit_pp
102,jaundice,940,24.0,916.0,0.02553191489361702,0.9744680851063829
103,shortness of breath,936,286.0,650.0,0.3055555555555556,0.6944444444444444
104,l ankle pain,927,822.0,105.0,0.8867313915857605,0.11326860841423948
105,toe pain,924,742.0,182.0,0.803030303030303,0.19696969696969696
106,pelvic pain,916,732.0,184.0,0.7991266375545851,0.20087336244541484
107,sah,898,187.0,711.0,0.20824053452115812,0.7917594654788419
108,facial swelling,896,629.0,267.0,0.7020089285714286,0.29799107142857145
109,unsteady gait,885,476.0,409.0,0.5378531073446328,0.46214689265536724
110,abnormal ekg,883,366.0,517.0,0.4144960362400906,0.5855039637599094
111,chest pain (cardiac features),854,502.0,352.0,0.5878220140515222,0.41217798594847777
112,bradycardia,837,201.0,636.0,0.24014336917562723,0.7598566308243727
113,agitation,834,392.0,442.0,0.47002398081534774,0.5299760191846523
114,r eye pain,824,754.0,70.0,0.9150485436893204,0.08495145631067962
115,hematemesis,821,235.0,586.0,0.2862362971985384,0.7137637028014616
116,l eye pain,817,764.0,53.0,0.9351285189718482,0.06487148102815178
117,l leg swelling,790,477.0,313.0,0.6037974683544304,0.3962025316455696
118,r ankle injury,788,612.0,176.0,0.7766497461928934,0.2233502538071066
119,cva,785,14.0,771.0,0.017834394904458598,0.9821656050955414
120,hemoptysis,776,276.0,500.0,0.3556701030927835,0.6443298969072165
121,abnormal mri,775,222.0,553.0,0.2864516129032258,0.7135483870967742
122,body pain,749,454.0,295.0,0.6061415220293725,0.3938584779706275
123,numbness,728,454.0,274.0,0.6236263736263736,0.37637362637362637
124,r leg swelling,720,437.0,283.0,0.6069444444444444,0.39305555555555555
125,body aches,709,493.0,216.0,0.6953455571227081,0.304654442877292
126,psych,700,347.0,353.0,0.4957142857142857,0.5042857142857143
127,gi bleed,700,20.0,680.0,0.02857142857142857,0.9714285714285714
128,failure to thrive,698,104.0,594.0,0.1489971346704871,0.8510028653295129
129,l ear pain,698,659.0,39.0,0.9441260744985673,0.055873925501432664
130,unresponsive,689,136.0,553.0,0.19738751814223512,0.8026124818577649
131,l weakness,683,176.0,507.0,0.25768667642752563,0.7423133235724744
132,finger injury,681,623.0,58.0,0.9148311306901615,0.08516886930983847
133,gtube eval,655,410.0,245.0,0.6259541984732825,0.37404580152671757
134,hyperkalemia,641,244.0,397.0,0.38065522620904835,0.6193447737909517
135,respiratory distress,638,36.0,602.0,0.05642633228840126,0.9435736677115988
136,pneumonia,635,55.0,580.0,0.08661417322834646,0.9133858267716536
137,l ankle injury,614,502.0,112.0,0.8175895765472313,0.18241042345276873
138,urinary frequency,613,487.0,126.0,0.7944535073409462,0.20554649265905384
139,r wrist pain,611,543.0,68.0,0.8887070376432079,0.11129296235679215
140,r ear pain,597,565.0,32.0,0.9463986599664992,0.05360134003350084
141,r hand injury,592,529.0,63.0,0.893581081081081,0.10641891891891891
142,b leg swelling,586,234.0,352.0,0.3993174061433447,0.6006825938566553
143,hallucinations,585,266.0,319.0,0.4547008547008547,0.5452991452991452
144,sbo,562,45.0,517.0,0.0800711743772242,0.9199288256227758
145,dog bite,555,502.0,53.0,0.9045045045045045,0.09549549549549549
146,r hand pain,540,441.0,99.0,0.8166666666666667,0.18333333333333332
147,difficulty swallowing,535,285.0,250.0,0.5327102803738317,0.4672897196261682
148,rci,535,518.0,17.0,0.9682242990654205,0.03177570093457944
149,l wrist pain,528,476.0,52.0,0.9015151515151515,0.09848484848484848
150,l hand injury,519,441.0,78.0,0.8497109826589595,0.15028901734104047
151,chills,517,235.0,282.0,0.45454545454545453,0.5454545454545454
152,r weakness,514,110.0,404.0,0.2140077821011673,0.7859922178988327
153,l calf pain,511,451.0,60.0,0.8825831702544031,0.11741682974559686
154,head lac,510,428.0,82.0,0.8392156862745098,0.1607843137254902
155,pain,510,285.0,225.0,0.5588235294117647,0.4411764705882353
156,luq abd pain,500,309.0,191.0,0.618,0.382
157,ha,500,395.0,105.0,0.79,0.21
158,fall,500,211.0,289.0,0.422,0.578
159,s/p mvc,499,453.0,46.0,0.9078156312625251,0.09218436873747494
160,knee pain,493,380.0,113.0,0.77079107505071,0.22920892494929007
161,cellulitis,487,167.0,320.0,0.34291581108829566,0.6570841889117043
162,l arm numbness,482,306.0,176.0,0.6348547717842323,0.3651452282157676
163,productive cough,480,235.0,245.0,0.4895833333333333,0.5104166666666666
164,foot pain,475,347.0,128.0,0.7305263157894737,0.2694736842105263
165,med refill,472,439.0,33.0,0.9300847457627118,0.06991525423728813
166,jaw pain,469,368.0,101.0,0.7846481876332623,0.21535181236673773
167,detox,456,329.0,127.0,0.7214912280701754,0.27850877192982454
168,r rib pain,452,310.0,142.0,0.6858407079646017,0.3141592920353982
169,suture removal,444,444.0,0.0,1.0,0.0
170,hi,441,212.0,229.0,0.48072562358276644,0.5192743764172335
171,lower extremity pain,438,320.0,118.0,0.730593607305936,0.2694063926940639
172,substance misuse/intoxication,438,416.0,22.0,0.9497716894977168,0.0502283105022831
173,atrial fibrillation,435,149.0,286.0,0.3425287356321839,0.6574712643678161
174,nstemi,433,7.0,426.0,0.016166281755196306,0.9838337182448037
175,testicular pain,428,358.0,70.0,0.8364485981308412,0.16355140186915887
176,l elbow pain,425,341.0,84.0,0.8023529411764706,0.1976470588235294
177,leg weakness,423,159.0,264.0,0.375886524822695,0.624113475177305
178,pe,420,22.0,398.0,0.05238095238095238,0.9476190476190476
179,upper abdominal pain,418,240.0,178.0,0.5741626794258373,0.4258373205741627
180,vomiting and/or nausea,416,222.0,194.0,0.5336538461538461,0.46634615384615385
181,l rib pain,414,307.0,107.0,0.7415458937198067,0.2584541062801932
182,found down,409,161.0,248.0,0.39364303178484106,0.6063569682151589
183,l hand pain,400,317.0,83.0,0.7925,0.2075
184,throat foreign body sensation,395,331.0,64.0,0.8379746835443038,0.1620253164556962
185,ear pain,395,347.0,48.0,0.8784810126582279,0.12151898734177215
186,elevated troponin,390,20.0,370.0,0.05128205128205128,0.9487179487179487
187,r calf pain,388,338.0,50.0,0.8711340206185567,0.12886597938144329
188,vaginal pain,386,345.0,41.0,0.8937823834196891,0.10621761658031088
189,vision changes,381,239.0,142.0,0.6272965879265092,0.37270341207349084
190,shoulder pain,378,299.0,79.0,0.791005291005291,0.20899470899470898
191,dehydration,375,148.0,227.0,0.39466666666666667,0.6053333333333333
192,tremor,374,203.0,171.0,0.5427807486631016,0.4572192513368984
193,hip pain,374,208.0,166.0,0.5561497326203209,0.44385026737967914
194,r elbow pain,371,303.0,68.0,0.816711590296496,0.18328840970350405
195,uti,369,134.0,235.0,0.36314363143631434,0.6368563685636857
196,dizzy,349,243.0,106.0,0.6962750716332379,0.3037249283667622
197,picc line eval,348,260.0,88.0,0.7471264367816092,0.25287356321839083
198,bicycle accident,340,253.0,87.0,0.7441176470588236,0.25588235294117645
199,psychiatric hold,337,136.0,201.0,0.4035608308605341,0.5964391691394659
200,abnormal sodium level,330,50.0,280.0,0.15151515151515152,0.8484848484848485
201,b leg pain,327,207.0,120.0,0.6330275229357798,0.3669724770642202
202,head bleed,327,7.0,320.0,0.021406727828746176,0.9785932721712538
203,l wrist injury,324,280.0,44.0,0.8641975308641975,0.13580246913580246
204,influenza like illness,324,250.0,74.0,0.7716049382716049,0.22839506172839505
205,rib pain,323,215.0,108.0,0.6656346749226006,0.33436532507739936
206,l arm swelling,321,165.0,156.0,0.514018691588785,0.48598130841121495
207,vertigo,319,224.0,95.0,0.7021943573667712,0.29780564263322884
208,dvt,318,108.0,210.0,0.33962264150943394,0.660377358490566
209,l shoulder injury,317,273.0,44.0,0.861198738170347,0.138801261829653
210,l facial numbness,316,211.0,105.0,0.6677215189873418,0.3322784810126582
211,elevated d-dimer,315,249.0,66.0,0.7904761904761904,0.20952380952380953
212,r foot injury,313,280.0,33.0,0.8945686900958466,0.10543130990415335
213,l thumb laceration,312,309.0,3.0,0.9903846153846154,0.009615384615384616
214,for eval,308,201.0,107.0,0.6525974025974026,0.3474025974025974
215,paranoid delusion,307,120.0,187.0,0.39087947882736157,0.6091205211726385
216,ah,306,162.0,144.0,0.5294117647058824,0.47058823529411764
217,wheezing,306,155.0,151.0,0.5065359477124183,0.4934640522875817
218,facial numbness,305,215.0,90.0,0.7049180327868853,0.29508196721311475
219,eye pain,305,278.0,27.0,0.9114754098360656,0.08852459016393442
220,finger pain,304,273.0,31.0,0.8980263157894737,0.10197368421052631
221,coffee ground emesis,300,36.0,264.0,0.12,0.88
222,burn,300,268.0,32.0,0.8933333333333333,0.10666666666666667
223,depression/suicidal/deliberate self harm,298,175.0,123.0,0.587248322147651,0.412751677852349
224,psychosis,283,75.0,208.0,0.26501766784452296,0.734982332155477
225,cough/congestion,282,203.0,79.0,0.7198581560283688,0.2801418439716312
226,cat bite,280,227.0,53.0,0.8107142857142857,0.18928571428571428
227,abdo pain,277,137.0,140.0,0.49458483754512633,0.5054151624548736
228,fevers,275,98.0,177.0,0.3563636363636364,0.6436363636363637
229,clotted fistula,275,113.0,162.0,0.4109090909090909,0.5890909090909091
230,syncope/presyncope,275,167.0,108.0,0.6072727272727273,0.3927272727272727
231,l foot injury,274,255.0,19.0,0.9306569343065694,0.06934306569343066
232,r shoulder injury,274,237.0,37.0,0.864963503649635,0.13503649635036497
233,malaise,273,127.0,146.0,0.4652014652014652,0.5347985347985348
234,hives,271,261.0,10.0,0.9630996309963099,0.03690036900369004
235,difficulty breathing,267,140.0,127.0,0.5243445692883895,0.4756554307116105
236,rlq pain,266,194.0,72.0,0.7293233082706767,0.2706766917293233
237,r knee injury,266,219.0,47.0,0.8233082706766918,0.17669172932330826
238,l knee injury,265,216.0,49.0,0.8150943396226416,0.18490566037735848
239,cardiac arrest,264,6.0,258.0,0.022727272727272728,0.9772727272727273
240,neck swelling,263,139.0,124.0,0.5285171102661597,0.4714828897338403
241,s/p assault,263,232.0,31.0,0.8821292775665399,0.11787072243346007
242,lower extremity injury,262,217.0,45.0,0.8282442748091603,0.1717557251908397
243,aphasia,262,56.0,206.0,0.21374045801526717,0.7862595419847328
244,r inguinal pain,259,179.0,80.0,0.6911196911196911,0.3088803088803089
245,facial droop,258,87.0,171.0,0.3372093023255814,0.6627906976744186
246,lbp,258,218.0,40.0,0.8449612403100775,0.15503875968992248
247,r arm numbness,257,146.0,111.0,0.5680933852140078,0.43190661478599224
248,r arm swelling,251,149.0,102.0,0.5936254980079682,0.4063745019920319
249,l hand laceration,246,226.0,20.0,0.9186991869918699,0.08130081300813008
250,etoh detox,246,179.0,67.0,0.7276422764227642,0.27235772357723576
251,r hand swelling,243,166.0,77.0,0.6831275720164609,0.3168724279835391
252,facial pain,242,207.0,35.0,0.8553719008264463,0.1446280991735537
253,insect bite,241,229.0,12.0,0.950207468879668,0.04979253112033195
254,chest pain (noncardiac features),239,174.0,65.0,0.7280334728033473,0.2719665271966527
255,l leg injury,232,101.0,131.0,0.4353448275862069,0.5646551724137931
256,r facial numbness,231,149.0,82.0,0.645021645021645,0.354978354978355
257,urinary incontinence,229,132.0,97.0,0.5764192139737991,0.42358078602620086
258,h/a,226,178.0,48.0,0.7876106194690266,0.21238938053097345
259,unknown-cc,222,102.0,120.0,0.4594594594594595,0.5405405405405406
260,appendicitis,220,19.0,201.0,0.08636363636363636,0.9136363636363637
261,upper back pain,220,184.0,36.0,0.8363636363636363,0.16363636363636364
262,pancreatitis,219,11.0,208.0,0.0502283105022831,0.9497716894977168
263,pneumothorax,218,31.0,187.0,0.14220183486238533,0.8577981651376146
264,left sided abdominal pain,217,162.0,55.0,0.7465437788018433,0.2534562211981567
265,l numbness,216,112.0,104.0,0.5185185185185185,0.48148148148148145
266,finger swelling,215,189.0,26.0,0.8790697674418605,0.12093023255813953
267,upper extremity injury,215,189.0,26.0,0.8790697674418605,0.12093023255813953
268,abnormal lab values,211,55.0,156.0,0.26066350710900477,0.7393364928909952
269,r foot swelling,211,129.0,82.0,0.6113744075829384,0.3886255924170616
270,l chest pain,209,161.0,48.0,0.7703349282296651,0.22966507177033493
271,r wrist injury,206,181.0,25.0,0.8786407766990292,0.12135922330097088
272,motorcycle accident,205,92.0,113.0,0.44878048780487806,0.551219512195122
273,arm pain,204,144.0,60.0,0.7058823529411765,0.29411764705882354
274,facial injury,204,171.0,33.0,0.8382352941176471,0.16176470588235295
275,left flank pain,204,166.0,38.0,0.8137254901960784,0.18627450980392157
276,lip swelling,204,167.0,37.0,0.8186274509803921,0.18137254901960784
277,mouth pain,203,164.0,39.0,0.8078817733990148,0.1921182266009852
278,r leg injury,202,90.0,112.0,0.44554455445544555,0.5544554455445545
279,positive blood cultures,202,8.0,194.0,0.039603960396039604,0.9603960396039604
280,leg numbness,202,119.0,83.0,0.5891089108910891,0.41089108910891087
281,l leg numbness,201,119.0,82.0,0.5920398009950248,0.4079601990049751
282,l foot swelling,201,132.0,69.0,0.6567164179104478,0.34328358208955223
283,l facial droop,200,87.0,113.0,0.435,0.565
284,hypokalemia,199,74.0,125.0,0.37185929648241206,0.628140703517588
285,stemi,198,13.0,185.0,0.06565656565656566,0.9343434343434344
286,l hand swelling,197,139.0,58.0,0.7055837563451777,0.29441624365482233
287,anorexia,195,51.0,144.0,0.26153846153846155,0.7384615384615385
288,aaa,192,17.0,175.0,0.08854166666666667,0.9114583333333334
289,traumatic back/spine injury,192,154.0,38.0,0.8020833333333334,0.19791666666666666
290,suprapubic pain,190,151.0,39.0,0.7947368421052632,0.20526315789473684
291,right flank pain,190,157.0,33.0,0.8263157894736842,0.1736842105263158
292,alcohol withdrawal,188,113.0,75.0,0.601063829787234,0.39893617021276595
293,r chest pain,188,135.0,53.0,0.7180851063829787,0.28191489361702127
294,l inguinal pain,188,142.0,46.0,0.7553191489361702,0.24468085106382978
295,neuro eval,187,71.0,116.0,0.37967914438502676,0.6203208556149733
296,sinus pain,186,173.0,13.0,0.9301075268817204,0.06989247311827956
297,clogged foley,186,144.0,42.0,0.7741935483870968,0.22580645161290322
298,buttock pain,183,137.0,46.0,0.7486338797814208,0.25136612021857924
299,low back pain,183,141.0,42.0,0.7704918032786885,0.22950819672131148
300,mania,182,69.0,113.0,0.3791208791208791,0.6208791208791209
301,upper extremity pain,182,146.0,36.0,0.8021978021978022,0.1978021978021978
302,vaginal discharge,180,162.0,18.0,0.9,0.1
303,r testicular pain,179,168.0,11.0,0.9385474860335196,0.061452513966480445
304,r hip fracture,179,7.0,172.0,0.03910614525139665,0.9608938547486033
305,insomnia,178,131.0,47.0,0.7359550561797753,0.2640449438202247
306,c-spine fracture,178,74.0,104.0,0.4157303370786517,0.5842696629213483
307,l testicular pain,177,156.0,21.0,0.8813559322033898,0.11864406779661017
308,lip laceration,175,168.0,7.0,0.96,0.04
309,r hand laceration,175,165.0,10.0,0.9428571428571428,0.05714285714285714
310,l hip fracture,175,9.0,166.0,0.05142857142857143,0.9485714285714286
311,r thumb injury,174,166.0,8.0,0.9540229885057471,0.04597701149425287
312,suicide attempt,171,42.0,129.0,0.24561403508771928,0.7543859649122807
313,needlestick,171,171.0,0.0,1.0,0.0
314,ruq pain,170,80.0,90.0,0.47058823529411764,0.5294117647058824
315,abnl labs,169,50.0,119.0,0.2958579881656805,0.7041420118343196
316,od,169,60.0,109.0,0.35502958579881655,0.6449704142011834
317,rectal bleeding,169,72.0,97.0,0.4260355029585799,0.5739644970414202
318,right knee pain,168,145.0,23.0,0.8630952380952381,0.13690476190476192
319,penile pain,168,146.0,22.0,0.8690476190476191,0.13095238095238096
320,wound check,166,129.0,37.0,0.7771084337349398,0.22289156626506024
321,l finger injury,163,142.0,21.0,0.8711656441717791,0.12883435582822086
322,r finger injury,162,151.0,11.0,0.9320987654320988,0.06790123456790123
323,labor,162,10.0,152.0,0.06172839506172839,0.9382716049382716
324,s/p seizure,161,87.0,74.0,0.5403726708074534,0.45962732919254656
325,st,161,155.0,6.0,0.9627329192546584,0.037267080745341616
326,hand injury,160,131.0,29.0,0.81875,0.18125
327,ms changes,160,25.0,135.0,0.15625,0.84375
328,c/p,158,106.0,52.0,0.6708860759493671,0.3291139240506329
329,myalgia,156,111.0,45.0,0.7115384615384616,0.28846153846153844
330,food bolus,156,106.0,50.0,0.6794871794871795,0.32051282051282054
331,left leg pain,156,108.0,48.0,0.6923076923076923,0.3076923076923077
332,rabies vaccine,156,156.0,0.0,1.0,0.0
333,r thumb laceration,155,151.0,4.0,0.9741935483870968,0.025806451612903226
334,r facial droop,154,65.0,89.0,0.42207792207792205,0.577922077922078
335,l breast pain,154,122.0,32.0,0.7922077922077922,0.2077922077922078
336,kidney stone,153,80.0,73.0,0.5228758169934641,0.477124183006536
337,inguinal pain,153,104.0,49.0,0.6797385620915033,0.3202614379084967
338,near syncope,153,94.0,59.0,0.6143790849673203,0.38562091503267976
339,gib,151,2.0,149.0,0.013245033112582781,0.9867549668874173
340,sickle cell crisis,151,43.0,108.0,0.2847682119205298,0.7152317880794702
341,hand laceration,151,144.0,7.0,0.9536423841059603,0.046357615894039736
342,l thumb injury,151,142.0,9.0,0.9403973509933775,0.059602649006622516
343,migraine,150,133.0,17.0,0.8866666666666667,0.11333333333333333
344,finger lac,149,148.0,1.0,0.9932885906040269,0.006711409395973154
345,palpitations/irregular heart beat,147,112.0,35.0,0.7619047619047619,0.23809523809523808
346,stab wound,143,62.0,81.0,0.43356643356643354,0.5664335664335665
347,pedal edema,143,40.0,103.0,0.27972027972027974,0.7202797202797203
348,r knee swelling,143,97.0,46.0,0.6783216783216783,0.32167832167832167
349,left knee pain,141,128.0,13.0,0.9078014184397163,0.09219858156028368
350,l hand numbness,140,91.0,49.0,0.65,0.35
351,intubated,140,0.0,140.0,0.0,1.0
352,r leg numbness,139,81.0,58.0,0.5827338129496403,0.4172661870503597
353,altered ms,139,32.0,107.0,0.2302158273381295,0.7697841726618705
354,eye redness,137,132.0,5.0,0.9635036496350365,0.0364963503649635
355,ftt,137,26.0,111.0,0.1897810218978102,0.8102189781021898
356,llq pain,137,96.0,41.0,0.7007299270072993,0.29927007299270075
357,htn,135,103.0,32.0,0.762962962962963,0.23703703703703705
358,elevated wbc,135,11.0,124.0,0.08148148148148149,0.9185185185185185
359,blood in stool/melena,135,45.0,90.0,0.3333333333333333,0.6666666666666666
360,exposure,135,134.0,1.0,0.9925925925925926,0.007407407407407408
361,pleuritic chest pain,134,87.0,47.0,0.6492537313432836,0.35074626865671643
362,abd pain ,134,79.0,55.0,0.5895522388059702,0.41044776119402987
363,jtube eval,133,95.0,38.0,0.7142857142857143,0.2857142857142857
364,left sided chest pain,132,108.0,24.0,0.8181818181818182,0.18181818181818182
365,hyponatremia,132,22.0,110.0,0.16666666666666666,0.8333333333333334
366,breast pain,132,104.0,28.0,0.7878787878787878,0.21212121212121213
367,r leg redness,132,58.0,74.0,0.4393939393939394,0.5606060606060606
368,tongue swelling,129,87.0,42.0,0.6744186046511628,0.32558139534883723
369,vag bleeding,129,105.0,24.0,0.813953488372093,0.18604651162790697
370,abnormal xray,128,63.0,65.0,0.4921875,0.5078125
371,l facial swelling,127,90.0,37.0,0.7086614173228346,0.29133858267716534
372,human bite,126,125.0,1.0,0.9920634920634921,0.007936507936507936
373,sepsis,125,1.0,124.0,0.008,0.992
374,abnormal ultrasound,125,49.0,76.0,0.392,0.608
375,altered level of consciousness,124,21.0,103.0,0.1693548387096774,0.8306451612903226
376,hand pain,124,100.0,24.0,0.8064516129032258,0.1935483870967742
377,multiple complaints,123,93.0,30.0,0.7560975609756098,0.24390243902439024
378,resp distress,122,3.0,119.0,0.02459016393442623,0.9754098360655737
379,l finger laceration,122,121.0,1.0,0.9918032786885246,0.00819672131147541
380,r/o stroke,121,14.0,107.0,0.11570247933884298,0.8842975206611571
381,l arm weakness,121,53.0,68.0,0.4380165289256198,0.5619834710743802
382,l leg redness,121,59.0,62.0,0.48760330578512395,0.512396694214876
383,l eye swelling,121,105.0,16.0,0.8677685950413223,0.1322314049586777
384,code stroke,119,9.0,110.0,0.07563025210084033,0.9243697478991597
385,uti complaints,119,92.0,27.0,0.773109243697479,0.226890756302521
386,dka,118,10.0,108.0,0.0847457627118644,0.9152542372881356
387,ataxia,117,51.0,66.0,0.4358974358974359,0.5641025641025641
